Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
21,Male,Mechanical,1,8.5,1,0,1
22,Male,Computer Science,0,6.3,0,0,0
19,Male,Information Technology,0,9.3,1,1,1
21,Male,Mechanical,0,9.5,1,0,0
21,Male,Mechanical,1,6.0,1,0,0
22,Male,Electrical,0,5.7,1,0,0
19,Male,Electronics And Communication,1,9.9,1,0,1
19,Male,Information Technology,0,9.3,1,0,1
21,Male,Electronics And Communication,1,9.5,0,0,1
20,Male,Computer Science,1,9.4,0,0,1
21,Male,Information Technology,0,7.7,0,0,0
21,Male,Computer Science,0,8.2,0,0,0
21,Male,Information Technology,0,7.7,1,0,0
21,Male,Civil,1,5.3,0,0,0
22,Male,Electronics And Communication,1,8.7,0,0,1
19,Male,Information Technology,0,7.5,0,0,0
22,Female,Computer Science,1,8.2,0,0,1
22,Male,Electronics And Communication,0,7.5,1,1,0
22,Male,Electronics And Communication,0,7.5,1,0,0
21,Male,Electrical,0,5.9,0,0,0
20,Male,Electrical,2,6.4,0,1,0
19,Male,Electrical,0,5.8,1,0,0
20,Male,Civil,0,6.0,1,0,0
22,Male,Electronics And Communication,0,9.9,0,0,1
22,Male,Computer Science,0,5.8,1,0,0
20,Male,Information Technology,1,6.3,1,1,0
20,Male,Computer Science,0,8.0,0,0,0
20,Female,Computer Science,0,8.1,1,0,0
22,Male,Computer Science,1,5.8,0,0,0
22,Female,Information Technology,0,9.0,0,1,0
19,Male,Information Technology,1,8.9,1,0,1
19,Male,Electronics And Communication,1,6.2,1,0,0
22,Male,Computer Science,0,6.4,1,0,0
20,Male,Information Technology,1,9.7,1,0,1
20,Female,Information Technology,0,9.1,1,0,0
19,Male,Electronics And Communication,1,8.5,1,0,1
22,Female,Mechanical,1,5.4,0,0,0
19,Male,Electronics And Communication,0,7.1,1,0,0
19,Female,Computer Science,1,7.8,0,0,1
21,Male,Mechanical,2,5.9,1,0,0
21,Male,Information Technology,3,7.2,1,0,1
21,Male,Computer Science,1,8.0,1,0,1
20,Male,Information Technology,1,6.6,1,0,0
22,Male,Information Technology,0,8.9,1,0,0
22,Male,Mechanical,0,9.2,0,0,1
22,Female,Mechanical,1,6.6,0,0,0
22,Male,Information Technology,0,9.2,0,0,1
21,Male,Computer Science,2,5.5,1,1,0
20,Male,Electronics And Communication,0,9.2,1,0,1
20,Male,Computer Science,0,5.8,1,0,0
21,Male,Computer Science,0,5.4,0,1,0
20,Male,Information Technology,2,8.2,0,0,1
21,Male,Information Technology,1,7.4,1,0,0
22,Male,Computer Science,1,9.5,0,0,1
21,Male,Electronics And Communication,0,6.8,1,0,0
22,Male,Computer Science,2,6.4,1,1,0
22,Male,Computer Science,0,7.5,0,0,0
19,Male,Mechanical,2,7.3,0,0,1
21,Male,Electronics And Communication,1,6.7,0,1,0
19,Male,Information Technology,0,8.5,0,1,0
21,Male,Electrical,1,8.8,1,0,1
21,Female,Electronics And Communication,1,9.3,1,0,1
19,Male,Computer Science,0,9.9,0,0,0
19,Female,Electronics And Communication,2,6.3,0,0,1
21,Male,Information Technology,1,8.6,0,0,1
20,Male,Information Technology,0,7.0,0,0,0
